AU,first_author,TI,SO,JI,AB,DE,ID,LA,DT,DT2,TC,C1,DI,PA,AR,FU,FX,SN,PN,PP,PU,VL,PY,UT,NR,SC,U2,WC,EM,GA,RP,DB,CR,AU_UN,AU1_UN,AU_UN_NR,SR_FULL,SR,SE,BO,BE,BN
KADMON R;SHMIDA A;SELTEN R,KADMON R,WITHIN-PLANT FORAGING BEHAVIOR OF BEES AND ITS RELATIONSHIP TO NECTAR DISTRIBUTION IN ANCHUSA-STRIGOSA,ISRAEL JOURNAL OF BOTANY,ISRAEL JOURNAL OF BOTANY,"THE BEHAVIOR OF BEES FORAGING FOR NECTAR ON ANCHUSA STRIGOSA WAS STUDIED. THE FLOWERS OF THIS SPECIES ARE IRREGULARLY DISTRIBUTED IN THREE-DIMENSIONAL SPACE, AND THE COROLLA IS VIOLET IN YOUNG FLOWERS AND BLUE IN MATURE ONES. BLUE FLOWERS PRODUCED NECTAR AT HIGHER RATES AND RECEIVED MORE VISITS PER UNIT TIME THAN VIOLET FLOWERS, WHICH INDICATES THAT THE BEES WERE ABLE TO ASSOCIATE REWARD WITH FLOWER COLOR. BEFORE THE BEGINNING OF BEE ACTIVITY, BLUE FLOWERS CONTAINED MORE NECTAR THAN VIOLET FLOWERS, BUT DURING FORAGING ACTIVITY THEY CONTAINED LOWER AMOUNTS OF NECTAR. THIS REVERSAL IS INCONSISTENT WITH PREDICTIONS OF OPTIMAL FORAGING THEORY. BEES TENDED TO COMMENCE FORAGING AT BOTTOM FLOWERS AND WORKED PREDOMINANTLY UPWARDS. NECTAR STANDING CROP WAS UNCORRELATED WITH FLOWER HEIGHT BEFORE FORAGING ACTIVITY AND EITHER UNCORRELATED OR POSITIVELY CORRELATED WITH FLOWER HEIGHT DURING FORAGING ACTIVITY. WE RELATE THE POSITIVE CORRELATIONS TO THE OBSERVED ``MOVEMENT RULES (BOTTOM FLOWERS WERE DEPLETED MORE FREQUENTLY THAN UPPER ONES) AND SUGGEST THAT IN BOTH OUR STUDY AND SOME PREVIOUS STUDIES THESE RULES REDUCED, RATHER THAN INCREASED, THE PROBABILITY OF FINDING NECTAR-RICH FLOWERS.",NA,BUMBLEBEES; MOVEMENT; INFLORESCENCES; POLLINATION; PATTERNS; FLOWERS; RULE,ENGLISH,ARTICLE,ARTICLE,13,"KADMON, R (REPRINT AUTHOR), HEBREW UNIV JERUSALEM,DEPT BOT,IL-91904 JERUSALEM,ISRAEL.;UNIV BONN,DEPT ECON,W-5300 BONN 1,GERMANY.",NA,"PO BOX 50257, JERUSALEM 91502, ISRAEL",NA,NA,NA,0021-213X,4,283-294,LASER PAGES PUBL LTD,40,1991,ISIA1991HX53400002,22,PLANT SCIENCES,10,PLANT SCIENCES,NA,HX534,"KADMON, R (REPRINT AUTHOR), HEBREW UNIV JERUSALEM,DEPT BOT,IL-91904 JERUSALEM,ISRAEL",ISI,none,UNIV BONN,HEBREW UNIV JERUSALEM,NA,"KADMON R, 1991, ISRAEL JOURNAL OF BOTANY","KADMON R, 1991, ISRAEL JOURNAL OF BOTANY",NA,NA,NA,NA
ALEXANDER B,ALEXANDER B,"NOMADA PHYLOGENY RECONSIDERED (HYMENOPTERA, ANTHOPHORIDAE)",JOURNAL OF NATURAL HISTORY,J. NAT. HIST.,"IN 1979, C. D. MICHENER PROPOSED A HYPOTHESIS FOR THE EVOLUTIONARY HISTORY OF THE LARGE, COSMOPOLITAN, CLEPTOPARASITIC BEE GENUS NOMADA. THIS HYPOTHESIS WAS BASED ON KNOWN HOST RELATIONSHIPS AND THE GEOGRAPHIC DISTRIBUTION OF EXTANT SPECIES. ONE CLEAR-CUT PREDICTION WAS THAT A CLADISTIC ANALYSIS SHOULD SHOW THAT THE NEOTROPICAL SPECIES OF NOMADA PARASITIC UPON EXOMOLAPSINE ANTHOPHORID BEES OCCUPY THE MOST BASAL POSITION ON A CLADOGRAM OF SUBGROUPS WITHIN NOMADA. THIS PAPER PRESENTS THE RESULTS OF SUCH A CLADISTIC ANALYSIS, WHICH DID NOT CONFIRM MICHENER'S PREDICTION. THE IMPLICATIONS OF THE CLADISTIC ANALYSIS FOR AN INTERPRETATION OF THE PHYLOGENETIC HISTORY OF NOMADA ARE DISCUSSED, AND KNOWN HOST ASSOCIATIONS FOR THE GENUS WORLDWIDE ARE TABULATED. NO SIMPLE GLOBAL EVOLUTIONARY SCENARIO IS SUGGESTED BY THE CLADISTIC ANALYSIS. THE GENUS NOMADA MAY BE VERY OLD, AND ITS CONSTITUENT GROUPS MAY HAVE BEEN INVOLVED IN THE COMPLEX HISTORIES OF THE BIOTA OF SEVERAL CONTINENTS.",NOMADA; APOIDEA; CLEPTOPARASITISM; HISTORICAL BIOGEOGRAPHY; CLADISTICS,BIOGEOGRAPHY; PARSIMONY; SYSTEMATICS; HISTORY; ISSUES; BEES,ENGLISH,ARTICLE,ARTICLE,5,"CORNELL UNIV, DEPT ENTOMOL, ITHACA, NY 14853 USA.",10.1080/00222939100770231,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",NA,NA,NA,0022-2933,2,315-330,TAYLOR \& FRANCIS LTD,25,1991,ISIA1991FK14900005,58,"BIODIVERSITY \& CONSERVATION, ENVIRONMENTAL SCIENCES \& ECOLOGY, ZOOLOGY",17,"BIODIVERSITY CONSERVATION, ECOLOGY, ZOOLOGY",NA,FK149,"CORNELL UNIV, DEPT ENTOMOL, ITHACA, NY 14853 USA",ISI,none,CORNELL UNIV,CORNELL UNIV,NA,"ALEXANDER B, 1991, J NAT HIST","ALEXANDER B, 1991, J NAT HIST",NA,NA,NA,NA
MELCHERS G;MOHRI Y;WATANABE K;WAKABAYASHI S;HARADA K,MELCHERS G,ONE-STEP GENERATION OF CYTOPLASMIC MALE-STERILITY BY FUSION OF MITOCHONDRIAL-INACTIVATED TOMATO PROTOPLASTS WITH NUCLEAR-INACTIVATED SOLANUM PROTOPLASTS,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,PROC. NATL. ACAD. SCI. U. S. A.,"MESOPHYLL PROTOPLASTS OF LYCOPERSICON ESCULENTUM WERE TREATED WITH IODOACETAMIDE TO INACTIVATE MITOCHONDRIA, AND PROTOPLASTS OF SOLANUM ACAULE AND SOLANUM TUBEROSUM WERE IRRADIATED WITH GAMMA- OR X-RAYS TO INACTIVATE NUCLEI. MIXTURES OF PROTOPLASTS THUS MODIFIED WERE TREATED WITH CA2+ AND POLYETHYLENE GLYCOL TO OBTAIN HETEROLOGOUS FUSION PRODUCTS. AMONG THE FUSION PRODUCTS WERE SOME TOMATO PLANTS THAT WERE INDISTINGUISHABLE FROM THE ORIGINAL CULTIVARS WITH RESPECT TO MORPHOLOGY, PHYSIOLOGY, AND CHROMOSOME NUMBER (2N=24) BUT EXHIBITED VARIOUS DEGREES OF MALE STERILITY (MS): COMPLETE LACK OR MALFORMATION OF ANTHERS, SHRUNKEN POLLEN, AND NORMAL-LOOKING STAINABLE POLLEN THAT COULD NOT GERMINATE. THE MS THUS INDUCED IN FIVE CULTIVARS OF DIFFERENT GROWTH TYPES, INCLUDING ONE OF SUBSPECIES L. ESCULENTUM CERASIFORME, WAS INHERITED MATERNALLY OVER SEVERAL GENERATIONS AND IS, THEREFORE, CYTOPLASMICALLY DETERMINED MS (CMS). ANALYSIS OF MITOCHONDRIAL DNA REVEALED THAT THE MITOCHONDRIAL GENOME OF THE CMS HYBRIDS DOES NOT CONTAIN ALL ELEMENTS OF THE MITOCHONDRIAL DNA OF EITHER PARENT BUT INCLUDES SEQUENCES OF A RECOMBINATIONAL NATURE NOT PRESENT IN EITHER PARENT. THE CMS HYBRIDS, THEREFORE, POSSESS A TRUE HYBRID MITOCHONDRIAL GENOME. THE SAME PROCEDURE APPLIED TO FUSION OF TOMATO WITH SOLANUM LYCOPERSICOIDES AND NICOTIANA TABACUM CELLS DID NOT PRODUCE CMS PHENOTYPES. THE ADVANTAGES OF THIS METHOD OVER OTHERS FOR GENERATING MS ARE AS FOLLOWS: (I) ONLY ONE STEP IS REQUIRED, (II) THE NUCLEAR GENOTYPE OF THE CULTIVAR IS UNAFFECTED, (III) THE PROSPECT THAT CYTOPLASMIC DETERMINATION ALLOWS GENERATION OF 100\% CMS PROGENIES. THE NORMAL-APPEARING BUT NONFUNCTIONAL POLLEN OF CERTAIN CMS TYPES MIGHT RENDER THEM ATTRACTIVE TO POLLINATING BUMBLEBEES THAT THUS WOULD FACILITATE PRODUCTION OF HYBRID SEED.",LYCOPERSICON-ESCULENTUM; SOLANUM-ACAULE; SOLANUM-TUBEROSUM; SOLANUM-LYCOPERSICOIDES; NICOTIANA-TABACUM,SOMATIC HYBRIDS; PLANTS; POTATO; GENE; DNA,ENGLISH,ARTICLE,ARTICLE,48,"MELCHERS, G (REPRINT AUTHOR), MAX PLANCK INST BIOL,SPEMANNSTR 37,W-7400 TUBINGEN,GERMANY.;AGROGENET CORP,HIGASHIMURAYAMA,TOKYO 189,JAPAN.",10.1073/PNAS.89.15.6832,"2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418",NA,NA,NA,0027-8424,15,6832-6836,NATL ACAD PRESS,89,1992,ISIA1992JF85600036,19,SCIENCE \& TECHNOLOGY - OTHER TOPICS,2,MULTIDISCIPLINARY SCIENCES,NA,JF856,"MELCHERS, G (REPRINT AUTHOR), MAX PLANCK INST BIOL,SPEMANNSTR 37,W-7400 TUBINGEN,GERMANY",ISI,none,NA,MAX PLANCK INST BIOL,NA,"MELCHERS G, 1992, PROC NATL ACAD SCI U S A","MELCHERS G, 1992, PROC NATL ACAD SCI U S A",NA,NA,NA,NA
DEVALL MS,DEVALL MS,THE BIOLOGICAL FLORA OF COASTAL DUNES AND WETLANDS .2. IPOMOEA-PES-CAPRAE (L) ROTH,JOURNAL OF COASTAL RESEARCH,J. COAST. RES.,"IPOMOEA PES-CAPRAE (L.) ROTH (RAILROAD VINE) IS A PANTROPICAL, PERENNIAL, TRAILING VINE (CONVOLVULACEAE) WITH SHOWY PINK FLOWERS THAT GROWS ON COASTAL BEACHES AND DUNES THROUGHOUT THE TROPICAL AND SUBTROPICAL AREAS OF THE WORLD. HERE I PRESENT A SUMMARY OF ECOLOGICAL, PHYSIOLOGICAL AND GEOMORPHOLOGICAL ASPECTS OF THE BIOLOGY OF L PES-CAPRAE. ITS SUCCESS AS A COLONIZER OF TROPICAL SHORELINES MAY BE ATTRIBUTED TO THE PRODUCTION OF LARGE NUMBERS OF FRUITS, LONG LIFE CYCLE, HIGH POTENTIAL FOR WATER DISPERSAL, RESISTANCE TO SALT SPRAY, RAPID GROWTH, LARGE NEIGHBORHOOD SIZE, AND VEGETATIVE REPRODUCTION. THE SPECIES IS IMPORTANT AS A SAND COLONIZER AND PLAYS A SIGNIFICANT ROLE IN GEOMORPHOLOGY. THE PLANTS OFTEN COVER LARGE AREAS AND FORM A RATHER CONTINUOUS MAT THAT HELPS TO KEEP THE SAND FROM MOVING AND HOLDS THE SUBSTRATE TOGETHER. THE FLOWERS ARE VISITED BY BEES AND OTHER INSECTS, XYLOCOPA SPECIES (HYMENOPTERA) ARE IMPORTANT POLLINATORS. ANTS VISIT EXTRAFLORAL NECTARIES AND HELP THE PLANT INCREASE REPRODUCTIVE SUCCESS IN SOME AREAS. THE LEAVES AND SEEDS CONTAIN THE INDOLE ALKALOID ERGOTAMINE, WHICH PROTECTS THEM FROM MANY HERBIVORES. FLOWERS ME SOMETIMES EATEN BY HERBIVORES, AND A BEETLE (MEGACERUS LEUCOSPILUS) PARASITIZES THE SEEDS.",RAILROAD VINE; VARIATION; ECOLOGY; POPULATION BIOLOGY; PHYSIOLOGY; GEOMORPHOLOGICAL INTERACTIONS; ECONOMIC IMPORTANCE,NA,ENGLISH,ARTICLE,ARTICLE,35,"DEVALL, MS (REPRINT AUTHOR), SO FOREST EXPT STN,701 LOYOLA AVE,ROOM T10210,NEW ORLEANS,LA 70113, USA.",NA,"810 EAST 10TH STREET, LAWRENCE, KS 66044",NA,NA,NA,0749-0208,2,442-456,COASTAL EDUCATION \& RESEARCH FOUNDATION,8,1992,ISIA1992KX28600017,0,"ENVIRONMENTAL SCIENCES \& ECOLOGY, PHYSICAL GEOGRAPHY, GEOLOGY",15,"ENVIRONMENTAL SCIENCES, GEOGRAPHY, PHYSICAL, GEOSCIENCES, MULTIDISCIPLINARY",NA,KX286,"DEVALL, MS (REPRINT AUTHOR), SO FOREST EXPT STN,701 LOYOLA AVE,ROOM T10210,NEW ORLEANS,LA 70113, USA",ISI,none,NA,SO FOREST EXPT STN,NA,"DEVALL MS, 1992, J COAST RES","DEVALL MS, 1992, J COAST RES",NA,NA,NA,NA
ROUBIK DW,ROUBIK DW,"DIRECT COSTS OF FOREST REPRODUCTION, BEE-CYCLING AND THE EFFICIENCY OF POLLINATION MODES",JOURNAL OF BIOSCIENCES,J. BIOSCI.,"THE BEE GUILD REPRESENTS DIRECT PRIMARY COSTS OF ANGIOSPERM REPRODUCTION. TROPICAL FLOWER VISITORS TAKE AN AMOUNT COMPARABLE TO HERBIVORES, EXCEEDING 3\% OF NET PRIMARY PRODUCTION ENERGY. THEREFORE HERBIVORY AND ABOVEGROUND NET PRIMARY PRODUCTION HAVE BEEN UNDERESTIMATED. COMPARING POLLINATORS TO OTHER HERBIVORES, HARVEST IN MATURE FOREST BY TROPICAL BEES IS GREATER THAN LEAFCUTTER ANTS, GAME ANIMALS, FRUGIVORES, VERTEBRATE FOLIVORES, INSECT DEFOLIATORS EXCLUDING ANTS, FLOWER-FEEDING BIRDS AND BATS, BUT NOT SOIL ORGANISMS. THE RATIO OF TOTAL ABOVEGROUND NET PRIMARY PRODUCTION TO INVESTMENT IN POLLEN, NECTAR AND RESIN USED BY POLLINATORS SUGGESTS WIND POLLINATION IS SEVERAL TIMES MORE EFFICIENT IN TEMPERATE FORESTS THAN IS ANIMAL POLLINATION IN NEOTROPICAL MOIST FOREST. ANIMAL POLLINATION MAY, BE FAVOUR,ED BY HABITAT MOSAICS AND AN UNPREDICTABLE OR SPARSE DISPERSION OF CONSPECIFICS-CONSEQUENCES OF FLUCTUATING ABIOTIC AND BIOTIC ENVIRONMENTS. NATURAL SELECTION EVIDENTLY FAVOURS DIMINISHED DIRECT REPRODUCTIVE COSTS IN FORESTS, FOR EXAMPLE BY WIND POLLINATION, REGARDLESS OF LATITUDE AND DISTURBANCE REGIME. AN EXAMPLE IS `'WIND POLLINATION BY PROXY'' OF DOMINANT TREES IN SEASONAL SOUTHEAST ASIAN FORESTS. THEY FLOWER ONLY OCCASIONALLY AND THEIR POLLEN IS DISPERSED BY TINY WINGED INSECTS THAT ARE PRIMARILY CARRIED BY THE WIND-RATHER THAN THE NECTAR-HUNGRY BEES, BATS, BIRDS AND MOTHS USED BY MOST TROPICAL NORA. INCREASING EVAPOTRANSPIRATION IS ASSOCIATED WITH GREATER NET PRIMARY PRODUCTION, I SHOW ITS CORRELATION WITH SPECIES RICHNESS OF SOCIAL TROPICAL BEES ACROSS THE ISTHMUS OF PANAMA, WHICH MAY INDICATE INCREASING FOREST REPRODUCTIVE EFFORT DEVOTED TO FLOWERING, AND ITS MONOPOLIZATION BY UNSPECIALIZED NEWER VISITORS IN WETTER AND LESS SEASONAL LOWLAND FORESTS,",BEES; POLLINATORS; FOREST REPRODUCTION; PRIMARY PRODUCTION,HYMENOPTERA; COMMUNITY; ORGANIZATION; INVESTMENT; EVOLUTION; DISPERSAL; SYSTEMS; ENERGY; COLONY; APIDAE,ENGLISH,"ARTICLE, PROCEEDINGS PAPER",ARTICLE,23,"SMITHSONIAN TROP RES INST,BALBOA,PANAMA.",10.1007/BF02703085,"P B 8005 C V RAMAN AVENUE, BANGALORE 560 080, INDIA",NA,NA,NA,0250-5991,4,537-552,INDIAN ACADEMY SCIENCES,18,1993,ISIA1993MY08900009,62,LIFE SCIENCES \& BIOMEDICINE - OTHER TOPICS,10,BIOLOGY,NA,MY089,"SMITHSONIAN TROP RES INST,BALBOA,PANAMA",ISI,none,SMITHSONIAN TROP RES INST,SMITHSONIAN TROP RES INST,NA,"ROUBIK DW, 1993, J BIOSCI","ROUBIK DW, 1993, J BIOSCI",NA,NA,NA,NA
ARMBRUSTER WS,ARMBRUSTER WS,EVOLUTION OF PLANT POLLINATION SYSTEMS - HYPOTHESES AND TESTS WITH THE NEOTROPICAL VINE DALECHAMPIA,EVOLUTION,EVOLUTION,"THE RESULTS OF POLLINATION AND MATING-SYSTEM STUDIES WERE INTEGRATED WITH A PHYLOGENETIC STUDY OF 40 NEOTROPICAL SPECIES OF DALECHAMPIA L. (EUPHORBIACEAE) TO RECONSTRUCT THE HISTORY OF EVOLUTIONARY CHANGE IN POLLINATION SYSTEMS. THE RESULTS OF THIS ANALYSIS WERE TREATED AS A HYPOTHESIS AND TESTED FOR CIRCULARITY PROBLEMS AND ROBUSTNESS IN THE FACE OF CHANGES IN THE DATA SET. THE HISTORICAL HYPOTHESIS WAS USED TO MAKE SPECIFIC PREDICTIONS ABOUT DETAILS OF POLLINATION ECOLOGY AND REWARD BIOCHEMISTRY, THE PREDICTIONS WERE SUPPORTED BY INDEPENDENT OBSERVATIONS. I CONCLUDE THAT POLLINATION SYSTEMS IN DALECHAMPIA HAVE BEEN EVOLUTIONARILY LABILE, RELATIVE TO MOST MORPHOLOGICAL FEATURES, WITH REPEATED PARALLELISMS AND REVERSALS. TRANSITIONS AMONG THE THREE POLLINATION SYSTEMS EVOLVED BY DALECHAMPIA (POLLINATION BY RESIN-COLLECTING BEES, FRAGRANCE-COLLECTING MALE EUGLOSSINE BEES, AND POLLEN-COLLECTING BEES) HAVE BEEN FACILITATED BY BIOCHEMICAL EXAPTATION (PREADAPTATION). POLLINATION BY MALE EUGLOSSINE BEES IS RELATIVELY RARE IN THE GENUS BUT HAS ORIGINATED INDEPENDENTLY THREE TO FOUR TIMES. IN CONTRAST, POLLINATION BY RESIN-COLLECTING FEMALE BEES IS VERY COMMON, BUT HAS ORIGINATED ONLY ONCE. EIGHTY-SIX TO 97\% OF TRANSITIONS BETWEEN POLLINATION SYSTEMS INVOLVED AN INTERMEDIATE PHASE DURING WHICH BOTH OLD AND NEW POLLINATORS WERE EFFECTIVE, BUT 3 TO 14\% OF TRANSITIONS MAY HAVE BEEN `'INSTANTANEOUS,'' LACKING THE INTERMEDIATE PHASE. CLADES OF SPECIES SECRETING RESIN REWARDS ARE ABOUT 10 TIMES AS SPECIES RICH AS CLADES OF SPECIES SECRETING FRAGRANCE REWARDS, CIRCUMSTANTIAL EVIDENCE SUGGESTS THAT DIFFERENT EXTINCTION RATES MAY BE RESPONSIBLE FOR THIS DIFFERENCE. RELATIVELY ALLOGAMOUS (CROSS-POLLINATING) SPECIES HAVE EVOLVED FROM MORE AUTOGAMOUS (SELF-POLLINATING) SPECIES UP TO 13 TIMES, AND AUTOGAMOUS SPECIES HAVE EVOLVED FROM MORE ALLOGAMOUS ONES UP TO 11 TIMES. SPECIES OCCURRING IN DISTURBED HABITATS ARE FACULTATIVELY AUTOGAMOUS, WHEREAS SPECIES OF UNDISTURBED HABITATS ARE OFTEN HIGHLY ALLOGAMOUS.",DALECHAMPIA; EVOLUTION; MATING SYSTEMS; PHYLOGENY; POLLINATION ECOLOGY,MALE EUGLOSSINE BEES; SCANDENS EUPHORBIACEAE; CONFIDENCE-LIMITS; ASSOCIATIONS; PHYLOGENIES; MORPHOLOGY; ECOLOGY; CHRYSOMELIDAE; BOOTSTRAP; BLOSSOMS,ENGLISH,ARTICLE,ARTICLE,140,"ARMBRUSTER, WS (REPRINT AUTHOR), UNIV ALASKA,DEPT BIOL \& WILDLIFE,FAIRBANKS,AK 99775, USA.;UNIV ALASKA,INST ARCTIC BIOL,FAIRBANKS,AK 99775.",10.2307/2410162,"810 E 10TH STREET, LAWRENCE, KS 66044",NA,NA,NA,0014-3820,5,1480-1505,SOC STUDY EVOLUTION,47,1993,ISIA1993NM70700015,74,"ENVIRONMENTAL SCIENCES \& ECOLOGY, EVOLUTIONARY BIOLOGY, GENETICS \& HEREDITY",34,"ECOLOGY, EVOLUTIONARY BIOLOGY, GENETICS \& HEREDITY",NA,NM707,"ARMBRUSTER, WS (REPRINT AUTHOR), UNIV ALASKA,DEPT BIOL \& WILDLIFE,FAIRBANKS,AK 99775, USA",ISI,none,UNIV ALASKA,UNIV ALASKA,NA,"ARMBRUSTER WS, 1993, EVOLUTION","ARMBRUSTER WS, 1993, EVOLUTION",NA,NA,NA,NA
BATRA SWT,BATRA SWT,INDIA BUZZY BIODIVERSITY OF BEES,CURRENT SCIENCE,CURR. SCI.,"THE HISTORICAL BACKGROUND OF RESEARCH ON THE BEES OR APOIDEA OF INDIA IS REVIEWED. CURRENT KNOWLEDGE OF THESE IMPORTANT POLLINATING INSECTS IS COMPARED WITH THAT IN OTHER PARTS OF THE WORLD. RECOMMENDATIONS FOR FURTHER RESEARCH IN INDIA ARE MADE, WITH SUGGESTIONS REGARDING THE CONSERVATION OF BEE SPECIES AND THE MANAGEMENT OF THEIR POPULATIONS TO BENEFIT BOTH AGRICULTURE AND WILDLIFE IN INDIA.",NA,NA,ENGLISH,ARTICLE,ARTICLE,2,"BATRA, SWT (REPRINT AUTHOR), USDA,BEE RES LAB,BLDG 476,BELTSVILLE,MD 20705, USA.",NA,"C V RAMAN AVENUE, PO BOX 8005, BANGALORE 560 080, INDIA",NA,NA,NA,0011-3891,3,277-280,CURRENT SCIENCE ASSN,65,1993,ISIA1993LT49800020,31,SCIENCE \& TECHNOLOGY - OTHER TOPICS,5,MULTIDISCIPLINARY SCIENCES,NA,LT498,"BATRA, SWT (REPRINT AUTHOR), USDA,BEE RES LAB,BLDG 476,BELTSVILLE,MD 20705, USA",ISI,none,NA,BEE RES LAB,NA,"BATRA SWT, 1993, CURR SCI","BATRA SWT, 1993, CURR SCI",NA,NA,NA,NA
BAKER DB,BAKER DB,"TYPE MATERIAL IN THE UNIVERSITY-MUSEUM, OXFORD, OF BEES DESCRIBED BY COMTE LEPELETIERDESAINTFARGEAU,AMEDEE AND LATREILLE,PIERRE,ANDRE (HYMENOPTERA, APOIDEA)",JOURNAL OF NATURAL HISTORY,J. NAT. HIST.,"THE COMPOSITION, CONDITION AND HISTORY OF THE LATREILLE-DEJEAN-LEPELETIER COLLECTION (THE SO-CALLED `LATREILLE COLLECTION') IN THE HOPE ENTOMOLOGICAL COLLECTIONS, UNIVERSITY MUSEUM, OXFORD, ARE OUTLINED. THE TYPE MATERIAL OF CERTAIN NOMINAL SPECIES OF ANTHOPHORA LATREILLE, 1803, MACROCERA A LATREILLE, 1810 [NEC MEIGEN, 1803,=TETRALONIA SPINOLA, 1839] AND DUFOUREA LEPELETIER, 1841, DESCRIBED BY LEPELETIER FROM HIS PERSONAL COLLECTION AND FROM THE COLLECTION OF COMTE DEJEAN IS REVIEWED. THE TYPE MATERIAL OF CERTAIN NOMINAL SPECIES OF ANTHIDIUM FABRICIUS, 1804, AND PANURGUS PANZER, 1806, DESCRIBED BY LATREILLE FROM HIS OWN COLLECTION IS REVIEWED.",TYPE MATERIAL; LEPELETIER; LATREILLE; APOIDEA; HOPE ENTOMOLOGICAL COLLECTIONS; DEJEAN; DUFOUR,NA,ENGLISH,ARTICLE,ARTICLE,7,"BAKER, DB (REPRINT AUTHOR), UNIV MUSEUM,HOPE ENTOMOL COLLECT,OXFORD OX1 3PW,ENGLAND.",10.1080/00222939400770591,"ONE GUNDPOWDER SQUARE, LONDON, ENGLAND EC4A 3DE",NA,NA,NA,0022-2933,5,1189-1204,TAYLOR \& FRANCIS LTD,28,1994,ISIA1994PJ64500008,47,"BIODIVERSITY \& CONSERVATION, ENVIRONMENTAL SCIENCES \& ECOLOGY, ZOOLOGY",2,"BIODIVERSITY CONSERVATION, ECOLOGY, ZOOLOGY",NA,PJ645,"BAKER, DB (REPRINT AUTHOR), UNIV MUSEUM,HOPE ENTOMOL COLLECT,OXFORD OX1 3PW,ENGLAND",ISI,none,NA,UNIV MUSEUM,NA,"BAKER DB, 1994, J NAT HIST","BAKER DB, 1994, J NAT HIST",NA,NA,NA,NA
NORDEN BB;KROMBEIN KV;BATRA SWT,NORDEN BB,"NESTS AND ENEMIES OF EXOMALOPSIS (PHANAMALOPSIS) SOLANI COCKERELL (HYMENOPTERA, APOIDEA, MUTILLIDAE, DIPTERA, ASILIDAE)",PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON,PROC. ENTOMOL. SOC. WASH.,"THE BEE, EXOMALOPSIS (PHANOMALOPSIS) SOLANI COCKERELL WAS STUDIED IN APACHE, ARIZONA, 1988 AND IN RODEO, NEW MEXICO, 1991. BEES NESTED COMMUNALLY IN HARD PACKED, HORIZONTAL GROUND SURROUNDED BY LOW XERIC VEGETATION. NEST STRUCTURE, PROVISIONS, AND LARVAE ARE DISCUSSED. EVIDENCE OF COOPERATIVE NESTING WITHOUT DIFFERENTIATION INTO CASTES IS EXAMINED. CLEPTOPARASITES OF IMMATURES, PSEUDOMETHOCA BETHAE KROMBEIN (MUTILLIDAE) AND NOMADA GUTIERREZIAE COCKERELL (APOIDEA), AND A PREDATOR OF ADULT BEES, MALLOPHORINA PULCHRA PRITCHARD (ASILIDAE), ARE IDENTIFIED.",COMMUNAL; CLEPTOPARASITE; GROUND-NESTING; EXOMALOPSIS; APOIDEA; ASILIDAE; MULTILLIDAE,NA,ENGLISH,ARTICLE,ARTICLE,4,"NORDEN, BB (REPRINT AUTHOR), SMITHSONIAN INST,DEPT ENTOMOL,WASHINGTON,DC 20560, USA.",NA,"SMITHSONIAN INSTITUTION DEPT ENTOMOLOGY, WASHINGTON, DC 20560",NA,NA,NA,0013-8797,2,350-356,ENTOMOL SOC WASHINGTON,96,1994,ISIA1994NL97700018,0,ENTOMOLOGY,2,ENTOMOLOGY,NA,NL977,"NORDEN, BB (REPRINT AUTHOR), SMITHSONIAN INST,DEPT ENTOMOL,WASHINGTON,DC 20560, USA",ISI,none,NA,SMITHSONIAN INST,NA,"NORDEN BB, 1994, PROC ENTOMOL SOC WASH","NORDEN BB, 1994, PROC ENTOMOL SOC WASH",NA,NA,NA,NA
