AU,first_author,TI,SO,JI,AB,DE,ID,LA,DT,DT2,TC,C1,DI,PA,FU,FX,SN,PN,PU,VL,PY,UT,NR,SC,U2,WC,EM,GA,RP,DB,CR,AU_UN,AU1_UN,AU_UN_NR,SR_FULL,SR,SE,BO,BE,gathered_by
DIEKOTTER T;WALTHER-HELLWIG K;CONRADI M;SUTER M;FRANKL R,DIEKOTTER T,EFFECTS OF LANDSCAPE ELEMENTS ON THE DISTRIBUTION OF THE RARE BUMBLEBEE SPECIES BOMBUS MUSCORUM IN AN AGRICULTURAL LANDSCAPE,BIODIVERSITY AND CONSERVATION,BIODIVERS. CONSERV.,"THE REGIONAL DISTRIBUTION PATTERN OF BOMBUS MUSCORUM WAS STUDIED IN AN AGRICULTURAL LANDSCAPE OF CENTRAL GERMANY, ONE OF TWO REMAINING AREAS WITH THE OCCURRENCE OF THIS NATIONALLY ENDANGERED SPECIES IN THE LAND HESSE. TO DETERMINE THE LANDSCAPE CHARACTERISTICS THAT FACILITATE THE OCCURRENCE OF B. MUSCORUM, GRID-BASED OBSERVATION RECORDS WERE ANALYSED IN A GIS ENVIRONMENT AT A REGIONAL SCALE. A SIGNIFICANTLY NEGATIVE EFFECT OF THE NUMBER OF TREES ON THE OCCURRENCE OF B. MUSCORUM AND A SIGNIFICANTLY POSITIVE ONE OF THE PROPORTION OF ARABLE LAND, STRONGLY SUPPORT THE SPECIES' PREFERENCE FOR OPEN LANDSCAPES. YET, APART FROM OPEN LANDSCAPES ADDITIONAL LANDSCAPE FEATURES WERE SHOWN TO BE IMPORTANT. A SIGNIFICANTLY POSITIVE EFFECT OF DITCHES IN THE FINAL MODEL REVEALED THE IMPORTANCE OF THIS LANDSCAPE ELEMENT FOR THE OCCURRENCE OF B. MUSCORUM. THIS FINDING WAS ADDITIONALLY SUPPORTED BY RECORDINGS OF NEST-SEARCHING QUEENS, NESTS, AND FLOWER VISITS ALONG DITHES. THE POSITIVE EFFECTS OF CLOVER AND FALLOW LAND INDICATE THE SPECIES' NEED FOR SUITABLE FOOD RESOURCES THROUGHOUT THE SEASON. BECAUSE B. MUSCORUM EXHIBITS SMALL FORAGING RANGES, IT IS ESSENTIAL THAT LANDSCAPE ELEMENTS THAT PROVIDE NESTING SITES, FORAGING HABITATS AND UNDISTURBED HIBERNATION STRUCTURES ARE NEXT TO EACH OTHER. THE LOW NUMBERS OF INDIVIDUALS OF B. MUSCORUM RECORDED INDICATE THAT THE SUPPLY OF THESE HABITAT ELEMENTS MAY HAVE REACHED A CRITICAL THRESHOLD IN THE STUDY REGION.",DISTRIBUTION; ENDANGERED POLLINATORS; FLORAL RESOURCES; FORAGING BEHAVIOUR; HABITAT FRAGMENTATION; SPATIAL STRUCTURE; LANDSCAPE ANALYSIS,FIELD MARGINS; HABITAT; HYMENOPTERA; APIDAE; BEES; SCALE; EUROPE; CONSERVATION; POLLINATION; PASCUORUM,ENGLISH,ARTICLE,ARTICLE,24,"DIEKOTTER, T (REPRINT AUTHOR), SWISS FED INST TECHNOL, GEOBOT INST, ZURICHBERGSTR 38, CH-8044 ZURICH, SWITZERLAND.;SWISS FED INST TECHNOL, GEOBOT INST, CH-8044 ZURICH, SWITZERLAND.;UNIV GIESSEN, DEPT GEN \& SPECIAL ZOOL ANIM ECOL, GIESSEN, GERMANY.;UNIV MARBURG, DEPT BIOL, MARBURG, GERMANY.",10.1007/S10531-004-2932-9,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",NA,NA,0960-3115,1,SPRINGER,15,2006,ISI000236032000007,52,"BIODIVERSITY \& CONSERVATION, ENVIRONMENTAL SCIENCES \& ECOLOGY",63,"BIODIVERSITY CONSERVATION, ECOLOGY, ENVIRONMENTAL SCIENCES",TIM.DIEKOETTERENV.ETHZ.CH,022CJ,"DIEKOTTER, T (REPRINT AUTHOR), SWISS FED INST TECHNOL, GEOBOT INST, ZURICHBERGSTR 38, CH-8044 ZURICH, SWITZERLAND",ISI,none,SWISS FED INST TECHNOL;UNIV GIESSEN;UNIV MARBURG,SWISS FED INST TECHNOL,NA,"DIEKOTTER T, 2006, BIODIVERS CONSERV","DIEKOTTER T, 2006, BIODIVERS CONSERV",NA,NA,NA,ana
RADCHENKO V;GHISBAIN G;MICHEZ D,RADCHENKO V,"REDESCRIPTION OF THREE RARE SPECIES OF DASYPODA BEES WITH FIRST DESCRIPTION OF D. IBERICA AND D. TIBIALIS FEMALES (HYMENOPTERA, APOIDEA, MELITTIDAE)",ZOOTAXA,ZOOTAXA,"DASYPODA BEES ARE HOST-SPECIALIZED SOLITARY SPECIES DISTRIBUTED IN THE PALAEARCTIC REGION. IN THE FRAMEWORK OF A GLOBAL REVISION OF THIS GENUS, COMPREHENSIVE DESCRIPTIONS OF THREE RARE SPECIES (D. TIBIALIS MORAWITZ, D. VULPECULA LEBEDEV AND D. IBERICA WARNCKE) ARE PRESENTED. THE DETAILED MORPHOLOGY OF THE D. TIBIALIS MALE AND BOTH SEXES OF D. VULPECULA ARE GIVEN FOR THE FIRST TIME AFTER A VERY PARTIAL ORIGINAL DESCRIPTION. THE FEMALES OF D. TIBIALIS AND D. IBERICA ARE DESCRIBED FOR THE FIRST TIME AND ADDITIONAL MORPHOLOGICAL CHARACTERS OF THE MALE OF D. IBERICA ARE PROVIDED. THE LECTOTYPE OF DASYPODA TIBIALIS IS DESIGNATED. HOST-PLANTS AND NEW LOCALITIES ARE ALSO PRESENTED.",PALAEARCTIC REGION; TAXONOMY; HOST-PLANT; DASYPODA VULPECULA,LATREILLE 1802 HYMENOPTERA; PHYLOGENY,ENGLISH,ARTICLE,ARTICLE,0,"RADCHENKO, V (REPRINT AUTHOR), NATL ACAD SCI UKRAINE, INST EVOLUTIONARY ECOL, ACAD LEBEDEV 37, UA-03143 KIEV, UKRAINE.;RADCHENKO, VLADIMIR, NATL ACAD SCI UKRAINE, INST EVOLUTIONARY ECOL, ACAD LEBEDEV 37, UA-03143 KIEV, UKRAINE.;GHISBAIN, GUILLAUME, MICHEZ, DENIS, UNIV MONS, INST BIOSCI, LAB ZOOL, PL PARC 23, B-7000 MONS, BELGIUM.",10.11646/ZOOTAXA.4700.3.2,"PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND",FONDS DE LA RECHERCHE SCIENTIFIQUE-FNRSFONDS DE LA RECHERCHE SCIENTIFIQUE - FNRS; SUPPORT OF THE PRIORITY RESEARCH AREAS DEVELOPMENT OF UKRAINE [KPKVK 6541230]; FRS-FNRS PH-D GRANT ``ASPIRANT,"WE THANK THE COLLECTION CURATOR WHO PROVIDED ACCESS THE STUDIED MATERIAL: J.G. ROZEN JR. AND J.S. ASCHER (AMNH); YU.A. ASTAFUROVA (ZISP) AND M. SCHWARZ (OOL) AND THE COLLECTORS OF THE MATERIAL: J. \& M. HALADA AND C. MOLINA. WE WOULD LIKE ALSO TO THANK P. RASMONT (UMONS), WHO CONTRIBUTED TO THE ORGANIZATION OF THIS STUDY IN MONS, AND D. EVRARD (UMONS) FOR TECHNICAL ASSISTANCE. WE THANK T.J. WOOD (UMONS) FOR COMMENTS ON THE ENGLISH. WE ARE ALSO GRATEFUL TO TWO ANONYMOUS REVIEWERS AND JASON GIBBS FOR THEIR CORRECTIONS TO THE TEXT AND CONSTRUCTIVE COMMENTS THAT IMPROVED THIS MANUSCRIPT. THE RESEARCH LEADING TO THIS PUBLICATION HAS RECEIVED FUNDING FROM THE ``FONDS DE LA RECHERCHE SCIENTIFIQUE-FNRSAND ``THE SUPPORT OF THE PRIORITY RESEARCH AREAS DEVELOPMENT OF UKRAINE, KPKVK 6541230. GUILLAUME GHISBAIN WAS SUPPORTED BY A FRS-FNRS PH-D GRANT ``ASPIRANT.",1175-5326,3,MAGNOLIA PRESS,4700,2019,ISI000498938500002,23,ZOOLOGY,2,ZOOLOGY,RVGNAS.GOV.UA GUILLAUME.GHISBAINUMONS.AC.BE DENIS.MICHEZUMONS.AC.BE,JQ4SW,"RADCHENKO, V (REPRINT AUTHOR), NATL ACAD SCI UKRAINE, INST EVOLUTIONARY ECOL, ACAD LEBEDEV 37, UA-03143 KIEV, UKRAINE",ISI,none,INST EVOLUTIONARY ECOL;UNIV MONS,INST EVOLUTIONARY ECOL,NA,"RADCHENKO V, 2019, ZOOTAXA","RADCHENKO V, 2019, ZOOTAXA",NA,NA,NA,ana
FLANAGAN RJ;MITCHELL RJ;KARRON JVD,FLANAGAN RJ,"INCREASED RELATIVE ABUNDANCE OF AN INVASIVE COMPETITOR FOR POLLINATION, LYTHRUM SALICARIA, REDUCES SEED NUMBER IN MIMULUS RINGENS",OECOLOGIA,OECOLOGIA,"WHEN EXOTIC PLANT SPECIES SHARE POLLINATORS WITH NATIVE SPECIES, COMPETITION FOR POLLINATION MAY LOWER THE REPRODUCTIVE SUCCESS OF NATIVES BY REDUCING THE FREQUENCY AND/OR QUALITY OF VISITS THEY RECEIVE. EXOTIC SPECIES OFTEN BECOME NUMERICALLY DOMINANT IN PLANT COMMUNITIES, AND THE RELATIVE ABUNDANCE OF THESE POTENTIAL COMPETITORS FOR POLLINATION MAY BE AN IMPORTANT DETERMINANT OF THEIR EFFECTS ON THE POLLINATION AND REPRODUCTIVE SUCCESS OF CO-OCCURRING NATIVE SPECIES. OUR STUDY EXPERIMENTALLY TESTS WHETHER THE PRESENCE AND ABUNDANCE OF AN INVASIVE EXOTIC, LYTHRUM SALICARIA L. (LYTHRACEAE), INFLUENCES REPRODUCTIVE SUCCESS OF A CO-FLOWERING NATIVE SPECIES, MIMULUS RINGENS L. (PHRYMACEAE). WE ALSO EXAMINE THE MECHANISMS OF COMPETITION FOR POLLINATION AND HOW THEY MAY BE ALTERED BY CHANGES IN COMPETITOR ABUNDANCE. WE FOUND THAT THE PRESENCE OF LYTHRUM SALICARIA LOWERED MEAN SEED NUMBER IN MIMULUS RINGENS FRUITS. THIS EFFECT WAS MOST PRONOUNCED WHEN THE INVASIVE COMPETITOR WAS HIGHLY ABUNDANT, DECREASING THE NUMBER OF SEEDS PER FRUIT BY 40\% IN 2006 AND 33\% IN 2007. REDUCTIONS IN THE NUMBER OF SEEDS PER FRUIT WERE LIKELY DUE TO REDUCED VISIT QUALITY RESULTING FROM MIMULUS POLLEN LOSS WHEN BEES FORAGED ON NEIGHBORING LYTHRUM PLANTS. THIS STUDY SUGGESTS THAT VISIT QUALITY TO NATIVES MAY BE INFLUENCED BY THE PRESENCE AND ABUNDANCE OF INVASIVE FLOWERING PLANTS.",INVASIVE SPECIES; LYTHRUM SALICARIA; MIMULUS RINGENS; POLLEN LOSS; POLLINATOR,INTERSPECIFIC POLLEN TRANSFER; FLORAL DISPLAY SIZE; PURPLE LOOSESTRIFE; IPOMOPSIS-AGGREGATA; NATIVE CONGENER; REPRODUCTIVE SUCCESS; VISITATION PATTERNS; INSECT VISITATION; OUTCROSSING RATES; ALIEN PLANT,ENGLISH,ARTICLE,ARTICLE,37,"FLANAGAN, RJ (REPRINT AUTHOR), INDIANA UNIV, DEPT BIOL, BLOOMINGTON, IN 47405 USA.;FLANAGAN, REBECCA J., KARRON, JEVREY D., UNIV WISCONSIN, DEPT BIOL SCI, MILWAUKEE, WI 53201 USA.;MITCHELL, RANDALL J., UNIV AKRON, DEPT BIOL, AKRON, OH 44325 USA.",10.1007/S00442-010-1693-2,"233 SPRING ST, NEW YORK, NY 10013 USA","APPLIED ECOLOGICAL SERVICES; NATIONAL SCIENCE FOUNDATIONNATIONAL SCIENCE FOUNDATION (NSF) [DEB 9816712, DEB 9903308]","THE AUTHORS THANK T. SCHUCK FOR ASSISTANCE PROPAGATING MIMULUS RINGENS AND J. REINARTZ, G. MEYER, AND L. NELSON FOR HELP WITH WELD WORK. WE THANK S. JOHNSON, O. TOTLAND, AND AN ANONYMOUS REVIEWER FOR HELPFUL COMMENTS ON AN EARLIER DRAFT OF THIS MANUSCRIPT. THIS RESEARCH WAS SUPPORTED BY A GRANT FROM APPLIED ECOLOGICAL SERVICES TO R. J. F. AND GRANTS FROM THE NATIONAL SCIENCE FOUNDATION TO J. D. K. (DEB 9816712) AND R. J. M. (DEB 9903308). THIS EXPERIMENT COMPLIES WITH THE CURRENT LAWS OF THE UNITED STATES OF AMERICA.",0029-8549,2,SPRINGER,164,2010,ISI000281860700016,66,ENVIRONMENTAL SCIENCES \& ECOLOGY,66,ECOLOGY,RJFLANAGMAIL.COM,650PB,"FLANAGAN, RJ (REPRINT AUTHOR), INDIANA UNIV, DEPT BIOL, BLOOMINGTON, IN 47405 USA",ISI,none,UNIV WISCONSIN;UNIV AKRON,INDIANA UNIV,NA,"FLANAGAN RJ, 2010, OECOLOGIA","FLANAGAN RJ, 2010, OECOLOGIA",NA,NA,NA,byron
PRIESS JA;MIMLER M;KLEIN AM;SCHWARZE S;TSCHARNTKE T;STEFFAN-DEWENTER I,PRIESS JA,LINKING DEFORESTATION SCENARIOS TO POLLINATION SERVICES AND ECONOMIC RETURNS IN COFFEE AGROFORESTRY SYSTEMS,ECOLOGICAL APPLICATIONS,ECOL. APPL.,"THE ECOLOGICAL AND ECONOMIC CONSEQUENCES OF RAIN FOREST CONVERSION AND FRAGMENTATION FOR BIODIVERSITY, ECOSYSTEM FUNCTIONING, AND ECOSYSTEM SERVICES LIKE PROTECTION OF SOILS, WATER RETENTION, POLLINATION, OR BIOCONTROL ARE POORLY UNDERSTOOD. IN HUMAN-DOMINATED TROPICAL LANDSCAPES, FOREST REMNANTS MAY PROVIDE ECOSYSTEM SERVICES AND ACT AS A SOURCE FOR BENEFICIAL ORGANISMS IMMIGRATING INTO ADJACENT ANNUAL AND PERENNIAL AGRO-ECOSYSTEMS. IN THIS STUDY, WE USE EMPIRICAL DATA ON THE NEGATIVE EFFECTS OF INCREASING FOREST DISTANCE ON BOTH POLLINATOR DIVERSITY AND FRUIT SET OF COFFEE TO ESTIMATE FUTURE CHANGES IN POLLINATION SERVICES FOR DIFFERENT LAND USE SCENARIOS IN SULAWESI, INDONESIA. SPATIALLY EXPLICIT LAND USE SIMULATIONS DEMONSTRATE THAT DEPENDING ON THE MAGNITUDE AND LOCATION OF ONGOING FOREST CONVERSION, POLLINATION SERVICES ARE EXPECTED TO DECLINE CONTINUOUSLY AND THUS DIRECTLY REDUCE COFFEE YIELDS BY UP TO 18\%, AND NET REVENUES PER HECTARE UP TO 14\% WITHIN THE NEXT TWO DECADES ( COMPARED TO AVERAGE YIELDS OF THE YEAR 2001). CURRENTLY, FORESTS IN THE STUDY AREA ANNUALLY PROVIDE POLLINATION SERVICES WORTH 46 EUROS PER HECTARE. HOWEVER, OUR SIMULATIONS ALSO REVEALED A POTENTIAL WIN-WIN CONSTELLATION, IN WHICH ECOLOGICAL AND ECONOMIC VALUES CAN BE PRESERVED, IF PATCHES OF FORESTS ( OR OTHER NATURAL VEGETATION) ARE MAINTAINED IN THE AGRICULTURAL LANDSCAPE, WHICH COULD BE A VIABLE NEAR FUTURE OPTION FOR LOCAL FARMERS AND REGIONAL LAND USE PLANNERS.",BEE DIVERSITY; COFFEA ARABICA L.; CROP YIELD; ECOSYSTEM SERVICE; FOREST MARGIN AREAS; LAND USE AND LAND COVER CHANGE (LUCC) MODEL; NET REVENUES; POLICY SCENARIO; RAIN FOREST; SPATIAL MODELING,LAND-USE; ECOSYSTEM SERVICES; CROP POLLINATION; TROPICAL FOREST; FRUIT-SET; CONSERVATION; DYNAMICS; DIVERSITY; CANEPHORA; CARBON,ENGLISH,ARTICLE,ARTICLE,84,"PRIESS, JA (REPRINT AUTHOR), UNIV GESAMTHSCH KASSEL, CTR ENVIRONM SYST RES, KURT WOLTERS STR 3, D-34109 KASSEL, GERMANY.;UNIV GESAMTHSCH KASSEL, CTR ENVIRONM SYST RES, D-34109 KASSEL, GERMANY.;UNIV GOTTINGEN, DEPT CROP SCI AGROECOL, D-37073 GOTTINGEN, GERMANY.;UNIV GOTTINGEN, INST RURAL DEV, D-37073 GOTTINGEN, GERMANY.",10.1890/05-1795,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,NA,1051-0761,2,WILEY,17,2007,ISI000245744200010,53,ENVIRONMENTAL SCIENCES \& ECOLOGY,150,"ECOLOGY, ENVIRONMENTAL SCIENCES",PRIESSUSF.UNI-KASSEL.DE,157TP,"PRIESS, JA (REPRINT AUTHOR), UNIV GESAMTHSCH KASSEL, CTR ENVIRONM SYST RES, KURT WOLTERS STR 3, D-34109 KASSEL, GERMANY",ISI,none,UNIV GESAMTHSCH KASSEL;UNIV GOTTINGEN;UNIV GOTTINGEN,UNIV GESAMTHSCH KASSEL,NA,"PRIESS JA, 2007, ECOL APPL","PRIESS JA, 2007, ECOL APPL",NA,NA,NA,byron
BRUNET J;CHARLESWORTH D,BRUNET J,FLORAL SEX ALLOCATION IN SEQUENTIALLY BLOOMING PLANTS,EVOLUTION,EVOLUTION,"IN PLANTS WHOSE FLOWERS DEVELOP IN A SEQUENCE, DIFFERENT BOWERS MAY EXHIBIT TEMPORAL VARIATION IN POLLEN DONATION AND RECEIPT SUCH THAT THE FITNESS CONTRIBUTIONS THROUGH MALE AND FEMALE FUNCTIONS CAN VARY AMONG FLOWERS. DICHOGAMY, OR DIRECTIONAL POLLINATOR MOVEMENTS WITHIN INFLORESCENCES, CAN CREATE SITUATIONS WHERE FLOWERS IN DIFFERENT STAGES IN THE SEQUENCE MAY DIFFER IN THE NUMBERS OF FLOWERS IN THE FEMALE STAGE AVAILABLE AS POTENTIAL MATES. WE PRESENT AN EVOLUTIONARILY STABLE STRATEGY (ESS) ANALYSIS OF THE RESOURCE ALLOCATIONS EXPECTED IN DIFFERENT FLOWERS IN HERMAPHRODITIC PLANTS WHEN THE MATING ENVIRONMENTS VARY AMONG FLOWERS. THIS INTRODUCES A MODULAR ELEMENT INTO SEX-ALLOCATION MODELS. OUR ANALYSIS SHOWS THAT SUCH VARIATION IN THE MATING ENVIRONMENTS OF FLOWERS CAN SELECT FOR DIFFERENCES IN SEX ALLOCATION BETWEEN FLOWERS. WHEN MALE AND FEMALE FERTILITIES ARE NONLINEAR FUNCTIONS OF THE ALLOCATIONS, VARIATION IN RESOURCE AVAILABILITY CAN ALSO SELECT FOR VARIATION IN SEX ALLOCATION AMONG FLOWERS. THE INFLUENCE OF DICHOGAMY AND POLLINATOR DIRECTIONALITY ON FLORAL SEX ALLOCATION IS DISCUSSED, AND THE EMPIRICAL EVIDENCE SUPPORTING THE PREDICTIONS DERIVED FROM THE MODEL IS BRIEFLY REVIEWED. THE IMPLICATIONS OF OUR RESULTS FOR THE EVOLUTION OF ANDROMONOECY AND MONOECY ARE DISCUSSED.",DICHOGAMY GAIN CURVES; MALE FUNCTION; MATING ENVIRONMENT; POLLINATOR MOVEMENT; REPRODUCTIVE RESOURCES; SELFING; SEX ALLOCATION,FEMALE FUNCTIONS; POLLEN; FLOWERS; INFLORESCENCES; BUMBLEBEES; EVOLUTION; RESOURCES; DICHOGAMY; PATTERNS; NUMBER,ENGLISH,ARTICLE,ARTICLE,147,"BRUNET, J (REPRINT AUTHOR), OREGON STATE UNIV,DEPT BOT \& PLANT PATHOL,CORVALLIS,OR 97331, USA.;ROCKY MT BIOL LABS,CRESTED BUTTE,CO 81224.;UNIV CHICAGO,DEPT ECOL \& EVOLUT,CHICAGO,IL 60637.",10.2307/2410293,"810 E 10TH STREET, LAWRENCE, KS 66044",NA,NA,0014-3820,1,SOC STUDY EVOLUTION,49,1995,ISIA1995RH53700006,31,"ENVIRONMENTAL SCIENCES \& ECOLOGY, EVOLUTIONARY BIOLOGY, GENETICS \& HEREDITY",38,"ECOLOGY, EVOLUTIONARY BIOLOGY, GENETICS \& HEREDITY",NA,RH537,"BRUNET, J (REPRINT AUTHOR), OREGON STATE UNIV,DEPT BOT \& PLANT PATHOL,CORVALLIS,OR 97331, USA",ISI,none,ROCKY MT BIOL LABS;UNIV CHICAGO,OREGON STATE UNIV,NA,"BRUNET J, 1995, EVOLUTION","BRUNET J, 1995, EVOLUTION",NA,NA,NA,janean
STENSTROM M;BERGMAN P,STENSTROM M,"BUMBLEBEES AT AN ALPINE SITE IN NORTHERN SWEDEN: TEMPORAL DEVELOPMENT, POPULATION SIZE, AND PLANT UTILIZATION",ECOGRAPHY,ECOGRAPHY,"THE BUMBLEBEE COMMUNITY IN AN ALPINE VALLEY IN NORTHERN SWEDEN WAS STUDIED FOR TWO SEASONS. ONLY TWO SPECIES OF BUMBLEBEES, BOMBUS ALPINUS AND B. HYPERBOREUS, ARE COMMON AT THE SITE. BOMBUS HYPERBOREUS IS AN OBLIGATE NEST PARASITE ON B. ALPINUS, THE LATTER SPECIES IS FOUR TIMES MORE ABUNDANT THAN THE FORMER. THE NUMBER OF CAPTURES ON ANY GIVEN DAY WAS VERY LOW. HOWEVER, THE NUMBER OF QUEENS FORAGING IN THE AREA WAS ESTIMATED BY A MARK-REACAPTURE METHOD TO CA 350 SPECIMENS, INDICATING THAT THE QUEENS FORAGE OVER LARGE AREAS. THE DATES FOR CAPTURING QUEENS CARRYING POLLEN IN THEIR CORBICULAE AND THE EMERGENCE OF WORKERS AND MALES INDICATE THAT THE QUEENS ONLY HAVE TIME TO PRODUCE ONE BATCH (OR POSSIBLY TWO OVERLAPPING BATCHES) OF WORKERS. THE UTILIZATION OF DIFFERENT PLANT SPECIES CORRESPONDS WELL WITH THEIR FLOWERING PHENOLOGY AT THE SITE. THE UNSPECIALIZED FLOWERS OF SAXIFRAGA OPPOSITIFOLIA ARE THE MAIN POLLEN AND NECTAR SOURCE IN THE EARLY PART OF THE SEASON. THE BUMBLEBEES SWITCH TO ASTRAGALUS ALPINUS AND BARTSIA ALPINA AS SOON AS THEY COME INTO FLOWER, THESE SPECIES SHOW A TYPICAL BEE POLLINATION SYNDROME. THE CORBICULAR LOADS MOST COMMONLY CONSISTED OF 91-100\% OF POLLEN FROM A SINGLE SPECIES. THE CHANGE IN FLOWER UTILIZATION AND THE COMPOSITION OF THE CORBICULAR LOADS GIVE NO SUPPORT FOR THE HYPOTHESIS THAT ARCTIC BUMBLEBEES SHOULD BE MORE GENERALISTIC IN THEIR FORAGING THAN TEMPERATE SPECIES. THE PREFERENCE FOR ASTRAGALUS AND BARTSIA WILL PROBABLY HAVE AN EFFECT ON OUTCROSSING IN LATE-FLOWERING SPECIMENS OF SAXIFRAGA OPPOSITIFOLIA, WHICH HAS A VERY EXTENDED FLOWERING PERIOD.",NA,SWEDISH LAPLAND; BARTSIA-ALPINA; FLOWERS,ENGLISH,ARTICLE,ARTICLE,19,"STENSTROM, M (REPRINT AUTHOR), UNIV GOTHENBURG, DEPT SYSTEMAT BOT, CARL SKOTTSBERGS GATA 22B, S-41319 GOTHENBURG, SWEDEN.;UNIV GOTHENBURG, DEPT SYSTEMAT BOT, S-41319 GOTHENBURG, SWEDEN.;UNIV GOTHENBURG, DEPT CHEM ECOL, S-41319 GOTHENBURG, SWEDEN.",10.1111/J.1600-0587.1998.TB00568.X,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,NA,0906-7590,3,WILEY-BLACKWELL,21,1998,ISI000074415900009,26,"BIODIVERSITY \& CONSERVATION, ENVIRONMENTAL SCIENCES \& ECOLOGY",33,"BIODIVERSITY CONSERVATION, ECOLOGY",MIKAEL.STENSTROMSYSTBOT.GU.SE,ZW487,"STENSTROM, M (REPRINT AUTHOR), UNIV GOTHENBURG, DEPT SYSTEMAT BOT, CARL SKOTTSBERGS GATA 22B, S-41319 GOTHENBURG, SWEDEN",ISI,none,UNIV GOTHENBURG;UNIV GOTHENBURG,UNIV GOTHENBURG,NA,"STENSTROM M, 1998, ECOGRAPHY","STENSTROM M, 1998, ECOGRAPHY",NA,NA,NA,janean
TOLLSTEIN L;KNUDSEN JT;BERGSTROM LG,TOLLSTEIN L,FLORAL SCENT IN GENERALISTIC ANGELICA (APIACEAE) - AN ADAPTIVE CHARACTER,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,BIOCHEM. SYST. ECOL.,"THE FLORAL SCENT OF THREE TAXA OF ANGELICA WAS DOMINATED BY MONATERPENES AND BENZENOIDS. SCENT OF A. ARRHANGELICA SSP. LITORALIS AND A. SILVESTRIS BOTH CONTAIN CONSIDERABLE AMOUNTS OF ALPHA-PINENE AND 2-HYDROXYBENZALDEHYDE, THE FORMER ALSO HAVING LINALOOL AND THE LATTER MYRCENE AND LIMONENE IN LARGE AMOUNTS. IN THE SCENT OF A. ARCHANGELICA SSP. ARCHANGELICA CIS- AND TRANS-BETA-OCIMENE ARE DOMINATING. THERE IS A CONSIDERABLE WITHIN SPECIES VARIATION IN THESE, AND OTHER COMPOUNDS. THE PATTERN OF SCENT COMPOUNDS FOUND IN ANGELICA IS GENERAL IN SOME ASPECTS AND MORE SPECIFIC IN OTHERS. THE VOLATILE COMPOUNDS FOUND IN ANGELICA ARE FOUND ALSO IN MANY OTHER FLOWERING PLANTS SHOWING VARIOUS DEGREES OF SPECIALIZATION IN POLLINATION BIOLOGY. THE CHEMICAL COMPOSITION OF THE FLORAL SCENT OF THE THREE TAXA OF ANGELICA CONFORMS WITH THE CURRENT DELIMITATION OF THE TAXA.",ANGELICA; APIACEAE; MONOTERPENES; BENZENOIDS; FLORAL SCENT; HEADSPACE; GENERALISTIC FLOWERS; CHEMOTAXONOMY; GC-MS,INCIPIENT SPECIATION; REPRODUCTIVE-BIOLOGY; VOLATILE COMPOUNDS; EUGLOSSINE BEES; POLLINATION; ORCHIDACEAE; FRAGRANCES; VISITORS; THASPIUM; SYSTEM,ENGLISH,ARTICLE,ARTICLE,26,"TOLLSTEIN, L (REPRINT AUTHOR), GOTHENBURG UNIV,DEPT CHEM ECOL,REUTERSGATAN 2C,S-41320 GOTHENBURG,SWEDEN.",10.1016/0305-1978(94)90006-X,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",NA,NA,0305-1978,2,PERGAMON-ELSEVIER SCIENCE LTD,22,1994,ISIA1994NC98000006,38,"BIOCHEMISTRY \& MOLECULAR BIOLOGY, ENVIRONMENTAL SCIENCES \& ECOLOGY, EVOLUTIONARY BIOLOGY",15,"BIOCHEMISTRY \& MOLECULAR BIOLOGY, ECOLOGY, EVOLUTIONARY BIOLOGY",NA,NC980,"TOLLSTEIN, L (REPRINT AUTHOR), GOTHENBURG UNIV,DEPT CHEM ECOL,REUTERSGATAN 2C,S-41320 GOTHENBURG,SWEDEN",ISI,none,NA,GOTHENBURG UNIV,NA,"TOLLSTEIN L, 1994, BIOCHEM SYST ECOL","TOLLSTEIN L, 1994, BIOCHEM SYST ECOL",NA,NA,NA,john m
